,season,episode,speaker,percent
206,2,1,kevin,0.386
207,2,1,michael,37.066
208,2,1,oscar,0.772
209,2,1,other guy at bar,0.386
210,2,1,pam,15.443999999999999
211,2,1,pam and jim,0.386
212,2,1,phyllis,3.8609999999999998
213,2,1,roy,2.317
214,2,1,ryan,0.772
215,2,1,stanley,3.089
216,2,3,angela,1.818
217,2,3,bill,0.7270000000000001
218,2,3,carol,5.455
219,2,3,crowd,0.364
220,2,3,dwight,20.0
221,2,3,everyone,0.364
222,2,3,jim,19.636
223,2,3,kevin,2.9090000000000003
224,2,3,meredith,0.364
225,2,3,michael,30.182
226,2,3,oscar,3.636
227,2,3,pam,10.909
228,2,3,phyllis,0.7270000000000001
229,2,3,ryan,1.818
230,2,3,stanley,1.091
231,2,4,angela,5.12
232,2,4,dwight,19.277
233,2,4,dwight and michael,0.602
234,2,4,jim,15.964
235,2,4,katy,3.313
236,2,4,kelly,1.205
237,2,4,kevin,1.205
238,2,4,meredith,1.205
239,2,4,michael,20.782999999999998
240,2,4,oscar,1.205
241,2,4,pam,6.627
242,2,4,phyllis,1.807
243,2,4,roy,1.807
244,2,4,ryan,15.662999999999998
245,2,4,song,2.711
246,2,4,stanley,1.506
247,2,5,angela,5.338
248,2,5,children,0.356
249,2,5,creed,5.694
250,2,5,devon,2.847
251,2,5,dwight,11.744
252,2,5,jim,11.388
253,2,5,kelly,1.068
254,2,5,kevin,0.712
255,2,5,kid,1.068
256,2,5,michael,41.281
257,2,5,oscar,2.491
258,2,5,pam,9.609
259,2,5,phyllis,1.068
260,2,5,ryan,0.356
261,2,5,sherri,3.9149999999999996
262,2,5,stanley,1.068
263,2,6,angela,1.115
264,2,6,dwight,23.791999999999998
265,2,6,ira,3.3459999999999996
266,2,6,jim,18.215999999999998
267,2,6,kelly,1.115
268,2,6,kevin,1.115
269,2,6,michael,31.599
270,2,6,pam,9.293999999999999
271,2,6,ryan,7.063
272,2,6,ryan's voicemail,0.372
273,2,6,stanley,1.115
274,2,6,toby,1.859
275,2,8,angela,1.748
276,2,8,creed,0.35000000000000003
277,2,8,dwight,15.384999999999998
278,2,8,jan,19.580000000000002
279,2,8,jim,9.091000000000001
280,2,8,kelly,0.699
281,2,8,kevin,1.049
282,2,8,michael,38.811
283,2,8,oscar,0.35000000000000003
284,2,8,pam,10.489999999999998
285,2,8,phyllis,0.35000000000000003
286,2,8,ryan,0.35000000000000003
287,2,8,stanley,1.399
288,2,8,toby,0.35000000000000003
289,2,11,angela,0.441
290,2,11,brenda,1.322
291,2,11,captain jack,13.216
292,2,11,darryl,1.322
293,2,11,darryl and katy,0.441
294,2,11,dwight,9.692
295,2,11,jim,12.775
296,2,11,katy,3.965
297,2,11,kelly,1.762
298,2,11,meredith,1.322
299,2,11,michael,34.802
300,2,11,oscar,0.441
301,2,11,pam,7.489
302,2,11,phyllis,1.762
303,2,11,roy,4.846
304,2,11,ryan,0.881
305,2,11,stanley,3.524
306,2,12,angela,1.351
307,2,12,billy merchant,4.595
308,2,12,creed,0.27
309,2,12,doctor,1.081
310,2,12,dwight,16.756999999999998
311,2,12,jim,14.594999999999999
